"Time"	"Account ID"	"Side"	"Symbol ID"	"ISIN"	"Type"	"Price"	"Currency"	"Quantity"	"Commission"	"Commission Currency"	"P&L"	"Traded Volume"	"Order Id"	"Order pos"	"Value Date"	"Unique Transaction Identifier (UTI)"	"Trade type"
"2023-03-01 17:46:39"	"AMD0000.001"	"buy"	"SCHR.ARCA"	"US8085248545"	"STOCK"	"48.7"	"USD"	"42"	"1.0"	"USD"	"0.0"	"2045.4"	"62375690-bb85-40b7-91be-ebcb818c5baf"	"0"	"2023-03-03"	"None"	"TRADE"
"2023-03-01 17:28:34"	"AMD0000.001"	"buy"	"VOO.ARCA"	"US9229083632"	"STOCK"	"363.85"	"USD"	"17"	"1.0"	"USD"	"0.0"	"6185.45"	"51ff4d03-1cda-4a62-bdbb-7e8c33379034"	"0"	"2023-03-03"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.45"	"USD"	"35"	"0.7"	"USD"	"-362.67"	"2325.75"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"10"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.45"	"USD"	"7"	"0.14"	"USD"	"-72.53"	"465.15"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"9"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.45"	"USD"	"7"	"0.14"	"USD"	"-72.53"	"465.15"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"8"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.45"	"USD"	"49"	"0.98"	"USD"	"-507.73"	"3256.05"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"7"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.46"	"USD"	"24"	"0.48"	"USD"	"-248.45"	"1595.04"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"6"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.46"	"USD"	"23"	"0.46"	"USD"	"-238.09"	"1528.58"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"5"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.46"	"USD"	"1"	"0.02"	"USD"	"-10.35"	"66.46"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"4"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.48"	"USD"	"1"	"0.02"	"USD"	"-10.33"	"66.48"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"3"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.5"	"USD"	"3"	"0.06"	"USD"	"-30.94"	"199.5"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"2"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.46"	"USD"	"1"	"0.02"	"USD"	"-10.35"	"66.46"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"1"	"2022-10-05"	"None"	"TRADE"
"2022-10-03 08:01:04"	"AMD0000.001"	"sell"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"66.46"	"USD"	"11"	"0.22"	"USD"	"-113.87"	"731.06"	"943076b4-28a5-45c5-bfc5-5284dd8f22bd"	"0"	"2022-10-05"	"None"	"TRADE"
"2022-08-30 12:44:06"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"74.11"	"USD"	"4"	"0.08"	"USD"	"0.0"	"296.44"	"3bb86ac5-0f66-4087-b2f9-36da8af750f0"	"0"	"2022-09-01"	"None"	"TRADE"
"2022-08-29 08:04:14"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"74.08"	"USD"	"5"	"0.1"	"USD"	"0.0"	"370.4"	"25b42fc8-e7ba-4cfa-8e62-ff7ea281046d"	"0"	"2022-08-31"	"None"	"TRADE"
"2022-08-26 17:37:59"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"75.0"	"USD"	"5"	"0.1"	"USD"	"0.0"	"375.0"	"e12af235-d69c-4a99-8c4a-63eb5729a427"	"0"	"2022-08-30"	"None"	"TRADE"
"2022-08-26 14:02:53"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"76.05"	"USD"	"5"	"0.1"	"USD"	"0.0"	"380.25"	"edda5301-17ed-4bfa-9b64-33c78aaa4e0f"	"0"	"2022-08-30"	"None"	"TRADE"
"2022-08-24 12:36:07"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"75.79"	"USD"	"5"	"0.1"	"USD"	"0.0"	"378.95"	"dbad5a5b-ba41-410e-b2ae-2a1cd6722398"	"0"	"2022-08-26"	"None"	"TRADE"
"2022-08-24 12:13:40"	"AMD0000.001"	"sell"	"GOVT.BATS"	"US46429B2676"	"STOCK"	"23.74"	"USD"	"37"	"0.74"	"USD"	"-100.64"	"878.38"	"8960b868-43d7-4c9f-8097-7dfe12542184"	"0"	"2022-08-26"	"None"	"TRADE"
"2022-08-24 11:00:00"	"AMD0000.001"	"sell"	"BND.NASDAQ"	"US9219378356"	"STOCK"	"75.0"	"USD"	"10"	"0.2"	"USD"	"-103.1"	"750.0"	"ead724c9-d3c2-40fc-b802-6b58f3d8a6c7"	"0"	"2022-08-26"	"None"	"TRADE"
"2021-10-29 15:38:13"	"AMD0000.001"	"buy"	"GOVT.BATS"	"US46429B2676"	"STOCK"	"26.46"	"USD"	"5"	"0.1"	"USD"	"0.0"	"132.3"	"632b019a-89b8-46ad-99bc-4c9f3b04434a"	"0"	"2021-11-02"	"None"	"TRADE"
"2021-10-29 15:36:58"	"AMD0000.001"	"buy"	"GOVT.BATS"	"US46429B2676"	"STOCK"	"26.46"	"USD"	"32"	"0.64"	"USD"	"0.0"	"846.72"	"98464f1f-7c21-4947-880a-1769bf5caaa8"	"0"	"2021-11-02"	"None"	"TRADE"
"2021-10-29 15:33:21"	"AMD0000.001"	"buy"	"BND.NASDAQ"	"US9219378356"	"STOCK"	"85.31"	"USD"	"10"	"0.2"	"USD"	"0.0"	"853.1"	"1007e0f3-e27e-41ce-b48c-7bf1d17f17b5"	"0"	"2021-11-02"	"None"	"TRADE"
"2021-10-29 15:19:07"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"77.68"	"USD"	"73"	"1.46"	"USD"	"0.0"	"5670.64"	"f3f806b9-ce27-4a06-a4d8-9c120e0c33e9"	"0"	"2021-11-02"	"None"	"TRADE"
"2021-10-14 16:03:34"	"AMD0000.001"	"buy"	"SCHD.ARCA"	"US8085247976"	"STOCK"	"76.49"	"USD"	"65"	"1.3"	"USD"	"0.0"	"4971.85"	"ee690bae-a737-4c7a-bba1-642a975a561a"	"0"	"2021-10-18"	"None"	"TRADE"
"Transaction ID"	"Account ID"	"Symbol ID"	"ISIN"	"Operation type"	"When"	"Sum"	"Asset"	"EUR equivalent"	"Comment"	"UUID"	"Parent UUID"
"457123744"	"AMD0000.001"	"SCHR.ARCA"	"None"	"US TAX"	"2023-04-03 14:35:04"	"-1.71"	"USD"	"-1.57"	"42 shares ExD 2023-04-03 PD 2023-04-10 dividend SCHR.ARCA 5.70 USD (0.1355 per share) tax -1.71 USD (-30.00%) DivCntry US"	"918f014f-c515-44c6-b935-259dade609e1"	"None"
"457123743"	"AMD0000.001"	"SCHR.ARCA"	"None"	"DIVIDEND"	"2023-04-03 14:35:04"	"5.7"	"USD"	"5.23"	"42 shares ExD 2023-04-03 PD 2023-04-10 dividend SCHR.ARCA 5.70 USD (0.1355 per share) tax -1.71 USD (-30.00%) DivCntry US"	"c1a53f0d-86df-4ada-b374-37efe3b02be5"	"None"
"454524553"	"AMD0000.001"	"VOO.ARCA"	"None"	"US TAX"	"2023-03-24 15:36:37"	"-7.59"	"USD"	"-7.06"	"17 shares ExD 2023-03-24 PD 2023-03-29 dividend VOO.ARCA 25.29 USD (1.4874 per share) tax -7.59 USD (-30.00%) DivCntry US"	"f0f09929-361e-41a4-bf72-c0b372bf5a15"	"None"
"454524552"	"AMD0000.001"	"VOO.ARCA"	"None"	"DIVIDEND"	"2023-03-24 15:36:37"	"25.29"	"USD"	"23.53"	"17 shares ExD 2023-03-24 PD 2023-03-29 dividend VOO.ARCA 25.29 USD (1.4874 per share) tax -7.59 USD (-30.00%) DivCntry US"	"4f1cec2e-59c4-45e2-b4a8-d88e90d7f780"	"None"
"445319541"	"AMD0000.001"	"SCHR.ARCA"	"US8085248545"	"TRADE"	"2023-03-01 17:46:39"	"42"	"SCHR.ARCA"	"1917.55"	"None"	"a6ef0fee-2eb5-419b-b127-4fbc10953fb2"	"None"
"445319542"	"AMD0000.001"	"SCHR.ARCA"	"None"	"TRADE"	"2023-03-01 17:46:39"	"-2045.4"	"USD"	"-1917.55"	"None"	"c3ba31c4-9284-4e36-9caf-a1d068f10c83"	"None"
"445319543"	"AMD0000.001"	"SCHR.ARCA"	"None"	"COMMISSION"	"2023-03-01 17:46:39"	"-1.0"	"USD"	"-0.94"	"None"	"1a6840eb-fbc6-4277-a843-c6970461fa21"	"None"
"445314664"	"AMD0000.001"	"VOO.ARCA"	"US9229083632"	"TRADE"	"2023-03-01 17:28:34"	"17"	"VOO.ARCA"	"5796.34"	"None"	"2689a139-e0b5-4152-a483-a4c4543ea234"	"None"
"445314665"	"AMD0000.001"	"VOO.ARCA"	"None"	"TRADE"	"2023-03-01 17:28:34"	"-6185.45"	"USD"	"-5796.34"	"None"	"205a0cb4-71c1-4902-8f0a-0fd01f4c5fe6"	"None"
"445314666"	"AMD0000.001"	"VOO.ARCA"	"None"	"COMMISSION"	"2023-03-01 17:28:34"	"-1.0"	"USD"	"-0.94"	"None"	"f6188858-a46c-4921-b9f3-514b445d4ab2"	"None"
"398646348"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:08"	"-0.7"	"USD"	"-0.71"	"None"	"a6856126-12d2-45d0-ad18-51973aee90e9"	"None"
"398646347"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:08"	"2325.75"	"USD"	"2370.8"	"None"	"3428c17a-9643-4754-ae6c-36e87e15aba3"	"None"
"398646346"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:08"	"-35"	"SCHD.ARCA"	"-2370.8"	"None"	"a2d982c0-99db-4655-8f61-a286b6475611"	"None"
"398646303"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:08"	"-0.14"	"USD"	"-0.14"	"None"	"6dc1f169-353b-4538-857d-1e39bbf9ca9e"	"None"
"398646302"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:08"	"465.15"	"USD"	"474.16"	"None"	"b9dda434-cb4c-43a7-8d86-7ff95ff449ab"	"None"
"398646301"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:08"	"-7"	"SCHD.ARCA"	"-474.16"	"None"	"11ad0a15-94ce-46fa-8d40-05fcd44c898a"	"None"
"398646266"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:07"	"-0.98"	"USD"	"-1.0"	"None"	"f0f91a9f-1e2e-4a76-8952-e1f5b93cd84e"	"None"
"398646265"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:07"	"3256.05"	"USD"	"3319.11"	"None"	"78ad1536-438f-4477-a8e3-a93b7bc8469a"	"None"
"398646264"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:07"	"-49"	"SCHD.ARCA"	"-3319.11"	"None"	"a1b28872-5633-4668-8cb0-8cbc80e2b2e9"	"None"
"398646233"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:07"	"-0.14"	"USD"	"-0.14"	"None"	"ca1bf186-83a3-49e9-a8f2-43493cf59c50"	"None"
"398646232"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:07"	"465.15"	"USD"	"474.16"	"None"	"c5ec873f-95da-4ffb-b2c7-6b4ab53732ae"	"None"
"398646231"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:07"	"-7"	"SCHD.ARCA"	"-474.16"	"None"	"0e2039f6-0d91-467b-97e9-60e31ce7d8c4"	"None"
"398646208"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:07"	"-0.48"	"USD"	"-0.49"	"None"	"6cf05626-eb6c-4b93-8be3-f87c94ffff85"	"None"
"398646207"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:07"	"1595.04"	"USD"	"1625.95"	"None"	"da44da9c-a269-49bf-8216-e768a2943c2b"	"None"
"398646206"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:07"	"-24"	"SCHD.ARCA"	"-1625.95"	"None"	"aee9b04d-d66e-494f-ab11-155dd7dcfbba"	"None"
"398646156"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:06"	"-0.02"	"USD"	"-0.02"	"None"	"55db408f-0ca6-4535-a7a1-610b175dd168"	"None"
"398646155"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:06"	"66.48"	"USD"	"67.77"	"None"	"b2ba1d60-10b5-4a5f-95c4-945612363176"	"None"
"398646154"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:06"	"-1"	"SCHD.ARCA"	"-67.77"	"None"	"f876a1af-0438-46ef-8440-86b50bc26f24"	"None"
"398646099"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:06"	"-0.06"	"USD"	"-0.06"	"None"	"095db174-87af-4de9-80a5-5a1a509ab780"	"None"
"398646098"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:06"	"199.5"	"USD"	"203.37"	"None"	"e2516036-d3ab-49c9-be06-8181897b12ef"	"None"
"398646097"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:06"	"-3"	"SCHD.ARCA"	"-203.37"	"None"	"7b2bd037-7830-47a0-8a8f-d7cb1f219bec"	"None"
"398646051"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:06"	"-0.46"	"USD"	"-0.47"	"None"	"ce49bf1f-b785-420e-8887-e4d6196e030a"	"None"
"398646048"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:06"	"1528.58"	"USD"	"1558.22"	"None"	"d1678bac-73eb-41e1-b25d-0aa6f282b9d3"	"None"
"398646046"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:06"	"-23"	"SCHD.ARCA"	"-1558.22"	"None"	"1ad91909-5354-4334-9e76-611153b7bb87"	"None"
"398646029"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.02"	"USD"	"-0.02"	"None"	"955c36d5-fd66-45aa-9263-135faaa3938c"	"None"
"398646027"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"66.46"	"USD"	"67.75"	"None"	"49d6d95d-6737-42b3-a1f9-23f12d0cd865"	"None"
"398646026"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-1"	"SCHD.ARCA"	"-67.75"	"None"	"3f171ea9-c427-4b9f-a0ac-0c7788a6bf92"	"None"
"398646015"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.22"	"USD"	"-0.22"	"None"	"b26b33dd-4000-4d22-8b60-f7acde454f05"	"None"
"398646014"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"731.06"	"USD"	"745.24"	"None"	"dbc93bf8-d476-47c3-aa79-1cb14b1193a0"	"None"
"398646013"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-11"	"SCHD.ARCA"	"-745.24"	"None"	"851218aa-e64e-4ffc-9384-84b91b97d1ac"	"None"
"398645999"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-10-03 08:01:05"	"-0.02"	"USD"	"-0.02"	"None"	"4aedf8fc-bf75-4449-b9c9-76906f281e73"	"None"
"398645998"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-10-03 08:01:05"	"66.46"	"USD"	"67.75"	"None"	"248da750-108a-4c3a-944a-c1f3c8cbb1c5"	"None"
"398645997"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-10-03 08:01:05"	"-1"	"SCHD.ARCA"	"-67.75"	"None"	"101e7d64-16a6-4f97-bb9f-97292c4b7a79"	"None"
"395610335"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TAX"	"2022-09-21 12:36:20"	"-30.95"	"USD"	"-31.23"	"162 shares ExD 2022-09-21 PD 2022-09-26 dividend SCHD.ARCA 103.15 USD (0.6367 per share) tax -30.95 USD (-30.00%) DivCntry US"	"5141a567-9e5c-40c9-8ae9-046c08921fb1"	"aca14da4-3f97-4702-a516-6e370e066053"
"395610267"	"AMD0000.001"	"SCHD.ARCA"	"None"	"DIVIDEND"	"2022-09-21 12:36:19"	"103.15"	"USD"	"104.09"	"162 shares ExD 2022-09-21 PD 2022-09-26 dividend SCHD.ARCA 103.15 USD (0.6367 per share) tax -30.95 USD (-30.00%) DivCntry US"	"aca14da4-3f97-4702-a516-6e370e066053"	"None"
"388579542"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-30 12:44:07"	"-0.08"	"USD"	"-0.08"	"None"	"a6f21321-c999-468a-bcb9-72482b2bebcb"	"None"
"388579541"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-30 12:44:07"	"-296.44"	"USD"	"-296.09"	"None"	"9fb99652-d7a1-435f-912b-e689a9e1ad75"	"None"
"388579540"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-30 12:44:07"	"4"	"SCHD.ARCA"	"296.09"	"None"	"16364650-b53f-4ac1-91bd-8d0851750554"	"None"
"388263981"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-29 08:04:14"	"-0.1"	"USD"	"-0.1"	"None"	"c23705f8-7286-47bb-be0b-ff7dc72a3100"	"None"
"388263980"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-29 08:04:14"	"-370.4"	"USD"	"-372.62"	"None"	"9d4a003c-1897-42da-982a-d3411abd9658"	"None"
"388263979"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-29 08:04:14"	"5"	"SCHD.ARCA"	"372.62"	"None"	"06811283-42c6-489c-8805-5f82979a22fb"	"None"
"388129354"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-26 17:37:59"	"-0.1"	"USD"	"-0.1"	"None"	"e5190871-9b6d-4d8a-974d-dd09fdd424b4"	"None"
"388129353"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-26 17:37:59"	"-375.0"	"USD"	"-376.4"	"None"	"dd8ad962-e139-42d2-a5f6-72f29416a5b0"	"None"
"388129352"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-26 17:37:59"	"5"	"SCHD.ARCA"	"376.4"	"None"	"86cfb947-b2fc-4e13-9ff9-7694c3d672a1"	"None"
"387960581"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-26 14:02:53"	"-0.1"	"USD"	"-0.1"	"None"	"0112e852-7567-4a83-8e45-1a1146a504e5"	"None"
"387960580"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-26 14:02:53"	"-380.25"	"USD"	"-379.22"	"None"	"d587d06a-c19b-42c7-95c4-48877a0acf91"	"None"
"387960579"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-26 14:02:53"	"5"	"SCHD.ARCA"	"379.22"	"None"	"c3849455-c7d8-4952-8b9f-d4bb3a4ffc09"	"None"
"387337887"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-24 12:36:07"	"-0.1"	"USD"	"-0.1"	"None"	"0e4dba66-877b-423f-bf67-cd686ea1a3ac"	"None"
"387337886"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-24 12:36:07"	"-378.95"	"USD"	"-381.67"	"None"	"5fe1a589-f678-4ec3-85c8-cc98292e6b66"	"None"
"387337885"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-24 12:36:07"	"5"	"SCHD.ARCA"	"381.67"	"None"	"2163fa3e-5ceb-416f-b0eb-0419bffccab7"	"None"
"387336654"	"AMD0000.001"	"GOVT.BATS"	"None"	"COMMISSION"	"2022-08-24 12:13:40"	"-0.74"	"USD"	"-0.75"	"None"	"68ed9dee-f83a-4fc5-994a-4bcf2d8e4cf2"	"None"
"387336653"	"AMD0000.001"	"GOVT.BATS"	"None"	"TRADE"	"2022-08-24 12:13:40"	"878.38"	"USD"	"884.59"	"None"	"1a7b6443-513b-4080-9a3d-18937ab497b8"	"None"
